theta0_degrees,theta_reference_degrees,theta_segment_degrees,delta_reference_degrees,delta_reference_abs_degrees,delta_segment_degrees,delta_segment_abs_degrees,segment_reference_error_degrees,segment_reference_error_abs_degrees,angle_decomposition_residual,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_ref_min,s_ref_max,q_ref_min,q_ref_max,q_ref_abs_max,lateral_width_reference_path,longitudinal_width_reference_path,required_strip_width,required_strip_width_one_sided
19.0,98.07181000630752,86.83259502478973,-79.07181000630752,79.07181000630752,-67.83259502478973,67.83259502478973,-11.239214981517785,11.239214981517785,0.0,1,C,67.83259502478973,0.0,3.5075471312261146e-17,0.5762081415513611,-0.5793445562173438,2.4732537579142417e-16,0.5793445562173438,0.579344556217344,0.5762081415513611,1.009344556217344,0.7943445562173438
19.5,98.07181000630752,86.75419519949854,-78.57181000630752,78.57181000630752,-67.25419519949855,67.25419519949855,-11.317614806808967,11.317614806808967,0.0,1,C,67.25419519949855,0.0,-1.1691823770753715e-17,0.5739869101264978,-0.5728802397062551,-8.244179193047473e-17,0.5728802397062551,0.572880239706255,0.5739869101264978,1.002880239706255,0.7878802397062551
20.0,98.07181000630752,86.67617104540636,-78.07181000630752,78.07181000630752,-66.67617104540636,66.67617104540636,-11.395638960901147,11.395638960901147,0.0,1,C,66.67617104540636,0.0,-5.536054497711564e-17,0.5717159998870902,-0.5664265756663784,4.0031746070322037e-16,0.5664265756663784,0.5664265756663789,0.5717159998870902,0.9964265756663788,0.7814265756663784
20.5,98.07181000630752,86.5985309154426,-77.57181000630752,77.57181000630752,-66.0985309154426,66.0985309154426,-11.473279090864924,11.473279090864924,0.0,1,C,66.0985309154426,0.0,7.794549180502477e-18,0.5693956118881115,-0.5599840814424709,5.4961194620316486e-17,0.5599840814424709,0.5599840814424709,0.5693956118881115,0.989984081442471,0.7749840814424709
21.0,98.07181000630752,86.52128307174465,-77.0718100063075,77.0718100063075,-65.52128307174465,65.52128307174465,-11.550526934562864,11.550526934562864,0.0,1,C,65.52128307174465,0.0,-1.5589098361004953e-17,0.5670259500535441,-0.553553273732863,-1.0992238924063297e-16,0.553553273732863,0.5535532737328629,0.5670259500535441,0.9835532737328629,0.768553273732863
21.5,98.07181000630752,86.44443568414347,-76.57181000630752,76.57181000630752,-64.94443568414347,64.94443568414347,-11.627374322164044,11.627374322164044,0.0,1,C,64.94443568414347,0.0,-7.874419251862307e-17,0.5646072211513671,-0.5471346685342507,2.354338768422709e-16,0.5471346685342507,0.547134668534251,0.5646072211513672,0.977134668534251,0.7621346685342507
22.0,98.07181000630752,86.36799682869763,-76.0718100063075,76.0718100063075,-64.36799682869763,64.36799682869763,-11.70381317760988,11.70381317760988,0.0,1,C,64.36799682869763,0.0,1.5589098361004953e-17,0.562139634768974,-0.5407287810865161,1.0992238924063297e-16,0.5407287810865161,0.5407287810865162,0.562139634768974,0.9707287810865162,0.7557287810865161
22.5,98.07181000630752,86.29197448627677,-75.57181000630752,75.57181000630752,-63.79197448627677,63.79197448627677,-11.779835520030742,11.779835520030742,0.0,1,C,63.79197448627677,0.0,-2.338364754150743e-17,0.5596234032889944,-0.5343361258175928,-1.6488358386094946e-16,0.5343361258175928,0.5343361258175927,0.5596234032889944,0.9643361258175926,0.7493361258175928
23.0,98.07181000630752,86.21637654119412,-75.07181000630752,75.07181000630752,-63.21637654119414,63.21637654119414,-11.855433465113384,11.855433465113384,0.0,1,C,63.21637654119412,0.0,-1.0212784006013049e-16,0.5570587418655486,-0.5279572162883972,7.055029298132144e-17,0.5279572162883972,0.5279572162883973,0.5570587418655487,0.9579572162883974,0.7429572162883972
23.5,98.07181000630752,86.141210779889,-74.57181000630752,74.57181000630752,-62.641210779888986,62.641210779888986,-11.93059922641852,11.93059922641852,0.0,1,C,62.641210779888986,0.0,-2.5961622509737665e-16,0.5544458684009187,-0.521592565137844,5.414180466658632e-16,0.521592565137844,0.5215925651378446,0.5544458684009189,0.9515925651378445,0.736592565137844
24.0,98.07181000630752,86.06648488965897,-74.0718100063075,74.0718100063075,-62.06648488965895,62.06648488965895,-12.005325116648551,12.005325116648551,0.0,1,C,62.066484889658966,0.0,-5.536054497711564e-17,0.5517850035226505,-0.5152426840279608,4.0031746070322037e-16,0.5152426840279608,0.5152426840279613,0.5517850035226505,0.9452426840279613,0.7302426840279608
24.5,98.07181000630752,85.99220645744249,-73.57181000630752,73.57181000630752,-61.492206457442485,61.492206457442485,-12.07960354886502,12.07960354886502,0.0,1,C,61.492206457442485,0.0,1.5589098361004953e-17,0.5490763705610693,-0.5089080835891218,1.0992238924063297e-16,0.5089080835891218,0.5089080835891219,0.5490763705610693,0.9389080835891219,0.7239080835891217
