theta0_degrees,theta_tangent_degrees,theta_error_degrees,theta_error_abs_degrees,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_min,s_max,q_min,q_max,q_abs_max,lateral_width_reference,longitudinal_width_reference,required_corridor_width,candidate_disk_distance_max,candidate_disk_residual_max
205.0,78.16541689162754,126.83458310837247,126.83458310837247,-1,CbC,90.00000000000001,36.83458310837242,-1.200469948995786e-16,0.878363442460007,-0.4389559361316176,0.29323915255336336,0.4389559361316176,0.732195088684981,0.8783634424600071,1.162195088684981,0.732195088684981,1.1102230246251565e-16
205.5,78.21874437417402,127.281255625826,127.281255625826,-1,CbC,89.99999999999999,37.281255625826034,-1.2001756690492427e-16,0.88180327519514,-0.443511160297858,0.2886839283871227,0.443511160297858,0.7321950886849806,0.8818032751951401,1.1621950886849806,0.7321950886849811,2.220446049250313e-16
206.0,78.27178050619895,127.72821949380106,127.72821949380106,-1,CbC,90.00000000000003,37.72821949380103,-1.3127192388760728e-16,0.8852807934406716,-0.44804237449090045,0.2841527141940808,0.44804237449090045,0.7321950886849813,0.8852807934406717,1.1621950886849812,0.732195088684981,1.1102230246251565e-16
206.5,78.32452203631219,128.1754779636878,128.1754779636878,-1,CbC,90.00000000000003,38.17547796368775,-1.1995888742381463e-16,0.8887958803752024,-0.452549282577616,0.279645806107365,0.452549282577616,0.7321950886849811,0.8887958803752025,1.162195088684981,0.732195088684981,1.1102230246251565e-16
207.0,78.37696571049176,128.62303428950824,128.62303428950824,-1,CbC,90.00000000000003,38.62303428950822,-1.199296430130909e-16,0.8923484172808234,-0.45703158819552886,0.2751635004894521,0.45703158819552886,0.732195088684981,0.8923484172808235,1.162195088684981,0.732195088684981,1.1102230246251565e-16
207.5,78.4291082720896,129.0708917279104,129.0708917279104,-1,CbC,90.00000000000003,39.07089172791039,-2.226887968722194e-17,0.8959382835276578,-0.46148899475665156,0.27070609392832945,0.46148899475665156,0.7321950886849811,0.8959382835276578,1.162195088684981,0.7321950886849808,0.0
208.0,78.48094646183988,129.51905353816014,129.51905353816014,-1,CbC,90.00000000000003,39.51905353816008,-2.2170464839953257e-17,0.8995653565582273,-0.46592120545152116,0.26627388323345996,0.46592120545152116,0.7321950886849811,0.8995653565582273,1.162195088684981,0.7321950886849808,0.0
208.5,78.53247701786997,129.96752298213002,129.96752298213002,-1,CbC,89.99999999999996,39.96752298213005,-2.2072616048618963e-17,0.903229511871642,-0.4703279232534361,0.26186716543154415,0.4703279232534361,0.7321950886849802,0.903229511871642,1.1621950886849801,0.7321950886849808,0.0
209.0,78.58369667571408,130.41630332428593,130.41630332428593,-1,CbC,89.99999999999996,40.41630332428597,-1.0987669956630988e-17,0.9069306230076092,-0.474708850922894,0.2574862377620862,0.474708850922894,0.7321950886849802,0.9069306230076092,1.1621950886849801,0.732195088684981,1.1102230246251565e-16
209.5,78.63460216832992,130.86539783167007,130.86539783167007,-1,CbC,90.00000000000001,40.86539783167003,-2.1878643038546886e-17,0.9106685615302595,-0.4790636910122453,0.2531313976727355,0.4790636910122453,0.7321950886849808,0.9106685615302595,1.1621950886849808,0.7321950886849808,0.0
210.0,78.6851902261183,131.3148097738817,131.3148097738817,-1,CbC,89.99999999999999,41.314809773881734,-1.3064700255678086e-16,0.9144431970118,-0.48339214587056223,0.2488029428144186,0.48339214587056223,0.7321950886849808,0.9144431970118001,1.1621950886849808,0.732195088684981,1.1102230246251565e-16
